Category,Name,Calories,Calories from Fat,Total Fat(g),Saturated Fat(g),Trans Fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrate(g),Dietary Fiber(g),Sugars(g),Protein(g),Portion
Bakery,Chonga Bagel,300.0,45.0,5.0,2.0,0.0,10.0,530.0,50.0,3.0,5.0,12.0,113 g
Bakery,8-Grain Roll,340.0,40.0,5.0,0.5,0.0,0.0,430.0,68.0,4.0,15.0,9.0,127 g
Bakery,Almond Croissant,420.0,190.0,22.0,9.0,0.5,75.0,390.0,45.0,3.0,13.0,10.0,99 g
Bakery,Banana Nut Bread,420.0,190.0,22.0,3.0,0.0,65.0,320.0,52.0,2.0,30.0,6.0,125 g
Bakery,Birthday Cake Pop,170.0,80.0,9.0,5.0,0.0,10.0,110.0,23.0,0.0,18.0,1.0,43 g
Bakery,Blueberry Muffin,360.0,130.0,15.0,3.0,0.0,50.0,270.0,52.0,1.0,33.0,5.0,110 g
Bakery,Blueberry Oat Cake,390.0,110.0,12.0,1.0,0.0,0.0,430.0,71.0,7.0,33.0,7.0,128 g
Bakery,Blueberry Scone,380.0,150.0,17.0,10.0,0.0,70.0,350.0,54.0,2.0,22.0,6.0,100 g
Bakery,Butter Croissant,260.0,30.0,15.0,10.0,1.0,40.0,320.0,27.0,1.0,5.0,5.0,62 g
Bakery,Cheese Danish,290.0,130.0,14.0,0.0,0.5,45.0,400.0,33.0,1.0,11.0,7.0,80 g
Bakery,Chocolate Cake Pop,160.0,70.0,8.0,4.5,0.0,15.0,80.0,23.0,1.0,18.0,2.0,43 g
Bakery,Chocolate Chip Cookie,360.0,100.0,18.0,11.0,0.5,60.0,220.0,47.0,2.0,31.0,6.0,80 g
Bakery,Chocolate Chip Cookie Dough Cake Pop,180.0,80.0,9.0,5.0,0.0,10.0,80.0,23.0,0.0,12.0,2.0,38 g
Bakery,Chocolate Croissant,340.0,180.0,20.0,12.0,0.5,50.0,280.0,38.0,2.0,13.0,5.0,80 g
